race_id,cycle,chamber,p_consensus,outcome_dem,fec_z,trends_z,gdelt_z,youtube_z,adspend_z,econ_claims_z,econ_coincident_z,econ_unemployment_z
sen-pa-22,2022,senate,0.6,1,1.2,1.0,0.6,1.4,0.8,0.165,-0.982,-0.92
sen-nv-22,2022,senate,0.48,1,0.6,0.3,0.1,0.4,0.5,0.265,-0.967,-0.939
sen-ga-22,2022,senate,0.55,1,0.9,0.7,0.4,0.8,0.6,0.266,-1.365,-1.093
sen-az-22,2022,senate,0.6,1,0.8,0.6,0.5,0.9,0.7,-0.137,-1.099,-1.044
sen-wi-22,2022,senate,0.45,0,-0.5,-0.8,-0.4,-0.6,-0.2,0.364,-0.74,-0.933
sen-oh-22,2022,senate,0.35,0,-0.7,-1.1,-0.5,-0.9,-0.4,0.261,-0.932,-0.941
sen-nc-22,2022,senate,0.4,0,-0.4,-0.9,-0.3,-0.5,-0.1,0.029,-1.083,-0.838
gov-az-22,2022,governor,0.45,1,0.5,0.2,-0.2,0.3,0.4,0.137,1.099,1.044
gov-wi-22,2022,governor,0.55,1,0.6,0.5,0.3,0.4,0.3,0.364,-0.74,-0.933
gov-ks-22,2022,governor,0.52,1,0.4,0.3,0.2,0.2,0.3,0.235,-1.216,-1.227
