race_id,cycle,chamber,p_consensus,outcome_dem,fec_z,trends_z,gdelt_z,youtube_z,adspend_z,econ_claims_z,econ_coincident_z,econ_unemployment_z
sen-in-18,2018,senate,0.55,0,-1.1,-1.6,-0.9,-1.2,-0.4,-0.286,1.118,1.204
sen-mo-18,2018,senate,0.52,0,-0.8,-1.2,-0.6,-0.9,-0.2,-2.021,1.748,1.68
sen-fl-18,2018,senate,0.6,0,-0.7,-1.0,-0.5,-0.8,0.1,-1.747,0.514,0.897
sen-nd-18,2018,senate,0.35,0,-1.4,-1.8,-1.0,-1.1,-0.6,0.066,0.782,0.796
sen-nv-18,2018,senate,0.55,1,0.8,0.9,0.5,0.7,0.6,-1.551,1.944,2.197
sen-az-18,2018,senate,0.52,1,1.1,1.3,0.7,1.0,0.8,-1.841,2.477,2.838
sen-tx-18,2018,senate,0.25,0,2.2,2.5,1.8,2.4,1.5,-0.592,-0.423,0.137
gov-fl-18,2018,governor,0.55,0,-0.3,-0.5,0.2,0.4,-0.1,-1.747,0.514,0.897
gov-wi-18,2018,governor,0.52,1,0.5,0.6,0.3,0.4,0.2,0.594,1.366,1.006
gov-ks-18,2018,governor,0.48,1,0.7,0.9,0.6,0.5,0.3,0.003,2.292,2.422
